lib,Category,C2
RcmdrPlugin.temis,NaturalLanguageProcessing,text mining
RKEA,NaturalLanguageProcessing,text mining
RWeka,NaturalLanguageProcessing,text mining
SnowballC,NaturalLanguageProcessing,text mining
tau,NaturalLanguageProcessing,text mining
textcat,NaturalLanguageProcessing,text mining
textir,NaturalLanguageProcessing,text mining
tm,NaturalLanguageProcessing,text mining
tm.plugin.dc,NaturalLanguageProcessing,text mining
tm.plugin.factiva,NaturalLanguageProcessing,text mining
tm.plugin.mail,NaturalLanguageProcessing,text mining
topicmodels,NaturalLanguageProcessing,text mining
wordcloud,NaturalLanguageProcessing,text mining
wordnet,NaturalLanguageProcessing,text mining
zipfR,NaturalLanguageProcessing,text mining
lda,NaturalLanguageProcessing,text mining
movMF,NaturalLanguageProcessing,text mining
skmeans,NaturalLanguageProcessing,text mining
tm.plugin.alceste,NaturalLanguageProcessing,text mining
tm.plugin.europresse,NaturalLanguageProcessing,text mining
tm.plugin.lexisnexis,NaturalLanguageProcessing,text mining
boilerpipeR,NaturalLanguageProcessing,text mining
lsa,NaturalLanguageProcessing,text mining
tm.plugin.webmining,NaturalLanguageProcessing,text mining
languageR,NaturalLanguageProcessing,text mining
RTextTools,NaturalLanguageProcessing,text mining
akima,NumericalMathematics,science computing
appell,NumericalMathematics,science computing
BB,NumericalMathematics,science computing
Bessel,NumericalMathematics,science computing
combinat,NumericalMathematics,science computing
contfrac,NumericalMathematics,science computing
cubature,NumericalMathematics,science computing
eigeninv,NumericalMathematics,science computing
elliptic,NumericalMathematics,science computing
expm,NumericalMathematics,science computing
features,NumericalMathematics,science computing
gaussquad,NumericalMathematics,science computing
gmp,NumericalMathematics,science computing
gsl,NumericalMathematics,science computing
hypergeo,NumericalMathematics,science computing
irlba,NumericalMathematics,science computing
magic,NumericalMathematics,science computing
MASS,NumericalMathematics,science computing
matlab,NumericalMathematics,science computing
Matrix,NumericalMathematics,science computing
MonoPoly,NumericalMathematics,science computing
mpoly,NumericalMathematics,science computing
multipol,NumericalMathematics,science computing
nleqslv,NumericalMathematics,science computing
numbers,NumericalMathematics,science computing
numDeriv,NumericalMathematics,science computing
onion,NumericalMathematics,science computing
orthopolynom,NumericalMathematics,science computing
partitions,NumericalMathematics,science computing
polyCub,NumericalMathematics,science computing
polynom,NumericalMathematics,science computing
PolynomF,NumericalMathematics,science computing
pracma,NumericalMathematics,science computing
R.matlab,NumericalMathematics,science computing
R2Cuba,NumericalMathematics,science computing
Rcpp,NumericalMathematics,science computing
RcppArmadillo,NumericalMathematics,science computing
RcppEigen,NumericalMathematics,science computing
Rmpfr,NumericalMathematics,science computing
rPython,NumericalMathematics,science computing
rSymPy,NumericalMathematics,science computing
signal,NumericalMathematics,science computing
SparseGrid,NumericalMathematics,science computing
